[  160850ms] [LOG] entities 37  frames 19241  window 240  mean 0.21ms  p95 0.27ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  162859ms] [LOG] entities 37  frames 19482  window 240  mean 0.22ms  p95 0.30ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  164867ms] [LOG] entities 37  frames 19723  window 240  mean 0.21ms  p95 0.25ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  166875ms] [LOG] entities 37  frames 19964  window 240  mean 0.21ms  p95 0.27ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  168884ms] [LOG] entities 37  frames 20205  window 240  mean 0.22ms  p95 0.30ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  170892ms] [LOG] entities 37  frames 20446  window 240  mean 0.21ms  p95 0.29ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  172900ms] [LOG] entities 37  frames 20687  window 240  mean 0.21ms  p95 0.28ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  174909ms] [LOG] entities 37  frames 20928  window 240  mean 0.21ms  p95 0.28ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  176917ms] [LOG] entities 37  frames 21169  window 240  mean 0.21ms  p95 0.29ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  178925ms] [LOG] entities 37  frames 21410  window 240  mean 0.22ms  p95 0.31ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  180925ms] [LOG] entities 37  frames 21650  window 240  mean 0.22ms  p95 0.29ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  182934ms] [LOG] entities 37  frames 21891  window 240  mean 0.21ms  p95 0.27ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  184942ms] [LOG] entities 37  frames 22132  window 240  mean 0.21ms  p95 0.28ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  186942ms] [LOG] entities 37  frames 22372  window 240  mean 0.20ms  p95 0.26ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  188942ms] [LOG] entities 37  frames 22612  window 240  mean 0.23ms  p95 0.31ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  190950ms] [LOG] entities 37  frames 22853  window 240  mean 0.21ms  p95 0.27ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  192950ms] [LOG] entities 37  frames 23093  window 240  mean 0.22ms  p95 0.27ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  194959ms] [LOG] entities 37  frames 23334  window 240  mean 0.20ms  p95 0.27ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
